name,temperature,luminosity,spectral_type,distance,magnitude
"HD 662809",12082,0.106241,"B6V",431.9,12.8
"HD 576282",5183,0.000324,"K4V",66.3,15.34
"HD 882551",12217,0.093372,"B3V",866.5,14.46
"TYC 4870-172-1",23267,124130.386708,"B7Ia",507.5,-2.03
"HIP 57396",3601,189.992326,"M7III",646.1,5.67
"HD 873899",13208,0.105699,"B7V",852.4,14.58
"HD 111297",10267,0.034275,"B1V",724.8,15.26
"HIP 93215",3368,221.854871,"M9III",946,6.27
"HD 169251",6375,0.001861,"F3V",488.1,17.53
"HD 926468",7568,0.001342,"A4V",764.2,18.83
"HD 120257",2512,0.000078,"M1V",875.4,22
"HD 540785",20482,17.123947,"B3IV",564.4,8.04
"HIP 89309",3522,142.961589,"M0III",921.1,6.82
"HD 669487",29775,14807.557441,"B5Ia",629.2,1.08
"TYC 4460-384-1",17872,47023.32997,"B4Ia",319,-1.83
"WD 6643+694",12209,0.00074,"DA4",893.3,19.9
"HD 962707",32854,116529.702635,"O2Ib",759.7,-1.02
"HD 945769",30817,27582.34853,"O5Ia",153.9,-2.87
"HD 152923",4761,0.000774,"K5V",931.8,19.64
"HIP 29724",4174,139.074139,"K1III",530.4,5.41
"HD 267669",12341,0.047446,"B7V",803.4,15.19
"HD 272831",28819,4087.074816,"B4III",575.4,2.06
"HD 317505",9189,0.010955,"A2V",546.2,15.77
"HD 777417",6085,0.001879,"F8V",941.4,19.03
"HD 941051",6030,0.001107,"F9V",391.6,17.62
"HD 443434",9066,0.008296,"DA5",559.5,16.11
"HD 623539",28346,3544.018358,"B5III",654.2,2.59
"HD 702107",7947,0.005705,"A9V",713.1,17.18
"HIP 69379",4386,437.49227,"K7III",646.8,4.62
"HD 247824",3843,0.000229,"K7V",816.3,21.09
"TYC 6215-612-1",5959,13490.029049,"G2Ib",849.2,1.63
"HD 576851",10876,0.008293,"DA4",768.6,16.91
"HD 798529",34661,298250.772733,"O4Ia",666.7,-2.26
"HD 328841",18031,7.672346,"B6V",697.3,9.25
"HIP 58972",3565,52.66364,"M8IV",468,6.27
"TYC 9909-612-1",9692,48464.76199,"A9Ib",998.7,0.7
"HD 153848",8797,0.009165,"DA5",618.5,16.47
"HD 812848",7411,0.002458,"F4V",510.7,17.41
"HD 985907",6345,0.000887,"F6V",950,19.81
"HD 652431",28008,4595.964686,"B9III",840.8,2.8
"HD 127988",5536,0.00082,"G9V",897.7,19.86
"HD 627184",11365,0.066547,"B6V",908.2,14.91
"HD 558183",6947,0.00064,"F8V",323.9,17.68
"WD 1257+895",19903,0.00036,"DA2",713.7,20.16
"HD 401737",4633,0.000432,"K7V",370.3,18.57
"HD 444235",9657,0.016817,"A5V",861.7,16.53
"HD 998153",19944,5.449942,"B2V",634.6,9.38
"HD 150220",5764,0.000677,"G2V",941.2,19.92
"HD 700701",2501,0.000046,"M7V",533.3,21.79
"HD 610727",34738,318933.252107,"O5Ib",44.8,-3
"HD 854749",3067,0.000128,"M9V",733.7,21.28
"HD 614185",11889,0.071105,"B9V",946.1,14.96
"HD 461817",4318,0.000435,"K6V",491.8,19.22
"HD 760932",16336,1.085283,"B5V",542.6,11.06
"HD 320170",4671,0.000279,"K4V",941.1,20.96
"HD 861838",2969,0.000187,"M3V",927.3,21.63
"HD 735008",15854,0.675911,"B8V",264.3,9.67
"HIP 117862",3656,272.857514,"M2III",897.3,5.96
"HD 955652",32607,134517.673904,"O7Ia",234.2,-3
"HD 554884",16683,0.557231,"B5V",821.8,12.24
"HD 198161",24502,405.525253,"B5III",302.7,3.1
"HD 959365",2818,0.000092,"M7V",307.1,19.65
"WD 3975+697",9631,0.001266,"DA5",148.7,15.45
"HD 922315",21291,22.619237,"B3IV",976.8,8.87
"HD 911534",3239,0.000353,"M4V",919.2,20.59
"HIP 61791",3452,844.842458,"M6III",328,2.74
"HIP 100487",4137,132.35828,"K7III",551,5.54
"HD 170852",22948,52.342626,"B2IV",767.8,7.56
"HD 806657",4895,0.001933,"K7V",431.9,17.13
"HD 958185",29186,26590.606632,"B9Ia",389.2,-0.85
"HD 127333",3409,0.000104,"M2V",487.3,20.82
"HD 547349",25883,648.864549,"B0III",721.9,4.54
"HD 288989",6842,0.001906,"F8V",932.6,18.88
"HD 713466",4855,0.000183,"K8V",538.5,20.44
"HIP 75499",4612,74.600575,"K1IV",722.5,6.81
"HD 633568",4478,0.00116,"K7V",666.4,18.79
"HIP 47467",4919,372.19113,"K7III",981.9,5.64
"HD 514548",25926,674.556591,"B5III",705.4,4.4
"HD 208939",14147,0.102235,"B0V",426.1,12.88
"HD 591559",12272,0.069523,"B5V",722.7,14.44
"HD 598505",31676,38915.020144,"O8Ib",558.7,-0.53
"HD 339747",2844,0.000053,"M1V",565.3,21.62
"HD 231203",26211,1003.15449,"B1III",779.7,4.23
"WD 1342+933",16646,0.001347,"DA3",993.3,19.42
"WD 5048+443",12921,0.000423,"DA3",136.1,16.35
"HD 865907",2524,0.000053,"M7V",923.1,22
"HIP 116496",4750,278.174025,"K5III",459.9,4.36
"HD 775476",4821,0.001073,"K7V",342.2,17.41
"HD 203397",5424,0.000365,"G9V",350.5,18.56
"HD 392701",2505,0.000098,"M0V",802.7,21.76
"HD 189239",8218,0.001122,"DA6",839.2,19.26
"HD 771217",31295,53033.875052,"O9Ia",547.2,-0.89
"HD 497440",2814,0.000155,"M0V",369.5,19.74
"HD 138698",3586,0.000191,"M4V",482.1,19.92
"HD 172076",21132,40.874782,"B6IV",996.8,8.17
"HIP 9919",3938,239.227567,"K6III",754.5,5.65
"WD 2553+205",15509,0.000093,"DA3",85.2,17.08
"HD 733156",8875,0.00489,"DA5",664.1,16.98
"HD 347725",14548,0.529224,"B5V",973.2,13.07
"HD 134597",23657,175.371609,"B7III",770.8,6.13
"HD 925501",8164,0.002998,"DA6",746.2,18.09
"HD 153085",2587,0.000094,"M8V",940.6,22
"WD 8985+683",22421,0.001135,"DA2",325.6,17.24
"HD 593152",34317,170808.854889,"O5Ib",899.2,-0.99
"HD 954789",31488,16969.435735,"O7Ib",865,1.46
"HD 490989",28280,2126.47143,"B0III",988.6,3.93
"HIP 80747",3872,152.993915,"K9III",783.3,6.3
"HD 244189",21963,47.757835,"B9IV",311.2,5.52
"HD 210444",3119,0.000057,"M2V",954.3,22
"HD 964924",19080,7.639096,"B4V",733.7,9.44
"HD 483206",18645,13.431779,"B2IV",203.6,6.03
"HD 300251",19866,6.710039,"B6V",167.7,6.21
"HD 796421",8492,0.009633,"DA5",942.1,16.94
"HD 261037",16600,1.117478,"B2V",494.7,10.6
"HD 899449",20715,5.685601,"B8V",332.7,7.86
"HD 467571",3043,0.000105,"M9V",164.9,18.15
"HD 784894",18600,5.719036,"B1V",712.1,9.58
"HD 328469",6823,0.002015,"F8V",145,14.92
"HD 147489",30211,20601.06257,"O5Ib",506.7,0.16
"HD 299110",21580,53.530163,"B1IV",802,7.55
"HD 312478",27402,1342.688841,"B8III",473.8,2.86
"HD 296580",30701,30206.14223,"O9Ia",993.1,1.02
"HD 129736",25902,696.458395,"B3III",739.7,4.27
"HD 140402",3803,0.000373,"K4V",527.3,19.53
"WD 4762+224",15867,0.000444,"DA3",454.4,18.9
"HD 882868",33661,103140.465284,"O1Ia",562,-1.45
"HD 168723",5089,0.001031,"K7V",905,19.61
"HD 913584",12047,0.113623,"B6V",351.8,12.37
"HD 573392",30914,25371.264042,"O8Ia",524.5,-0.14
"HD 316639",2502,0.000101,"M3V",970.9,22
"HD 897339",16222,0.605086,"B7V",905.8,12.59
"HD 513608",32301,29432.694649,"O2Ib",130.7,-3
"HD 501974",21103,11.45396,"B7IV",615.3,8.45
"HD 872122",3382,0.000661,"M3V",547.7,18.84
"HD 418317",28468,6449.056571,"B5III",145,-1.53
"TYC 7309-332-1",9519,33805.726046,"A7Ia",400.3,-1
"HD 911754",24876,473.756263,"B1III",717.8,4.79
"HD 159018",8823,0.003283,"DA5",523.7,17.09
"HD 107421",7592,0.001734,"A0V",363.8,16.91
"WD 1653+104",23098,0.000948,"DA2",692,18.99
"HD 292337",28130,3274.442843,"B0III",868.9,3.19
"HD 126690",2937,0.000049,"M1V",917.3,22
"HD 969099",5036,0.000544,"K6V",766.7,19.81
"HD 416521",7603,0.005155,"A7V",316.3,15.48
"HD 554866",28213,5950.541716,"B1III",804.3,2.25
"HD 396107",21677,23.117586,"B7IV",775.7,8.33
"HD 831345",11831,0.057207,"B0V",176.3,11.63
"WD 9992+352",16611,0.000122,"DA3",863.6,21.72
"HD 175543",5877,0.001378,"G4V",524.7,17.96
"HD 124425",28569,1651.187046,"B4III",475.2,2.64
"WD 7016+792",21325,0.000746,"DA2",927.2,19.9
"WD 5459+739",7477,0.000473,"F5V",885.2,20.53
"HD 180711",30203,12097.992812,"O7Ia",770.1,1.6
"HD 657505",3875,0.000362,"K5V",642.4,19.96
"HIP 48926",4901,311.044787,"K4III",362,3.73
"HD 377167",3111,0.000127,"M2V",454.8,20.28
"HD 331199",7680,0.002657,"A4V",503.6,17.19
"HD 305652",15405,0.444679,"B1V",319.3,10.68
"HIP 84020",4324,75.183258,"K6IV",435.7,5.68
"HD 373739",32655,54414.444995,"O5Ib",739.6,-0.3
"HD 771402",27206,1402.625939,"B6III",978.4,4.16
"HD 249948",16519,2.072233,"B8V",631.9,10.46
"HD 761016",5055,0.000354,"K1V",480.1,19.43
"HD 297682",8190,0.003681,"DA6",345.9,15.95
"WD 4356+819",12932,0.000737,"DA3",805,19.7
"HD 354838",2514,0.000215,"M4V",294.3,18.91
"HIP 15867",3329,89.244199,"M8IV",794.2,6.9
"HD 683480",24192,241.074964,"B9III",736.1,5.74
"HD 498984",5084,0.000279,"K3V",289.4,18.48
"HIP 54752",3000,132.063148,"M3III",655.5,6.13
"HD 732886",3398,0.000175,"M3V",723.3,20.76
"HD 656270",20019,23.37365,"B7IV",857.7,8.49
"HD 121254",2870,0.000145,"M3V",526.7,20.54
"HD 225130",16055,1.359212,"B6V",773.7,11.47
"HD 679010",4510,0.000382,"K2V",718.2,20.09
"HD 573588",7407,0.002104,"F0V",695.8,18.27
"HD 802356",8801,0.007358,"DA5",153.4,13.5
"WD 4261+932",19948,0.000695,"DA2",763.9,19.54
"HD 459502",6809,0.000876,"F2V",587.7,18.94
"HIP 14546",5469,30.629592,"G4IV",269.8,5.71
"HD 733778",8913,0.009025,"DA5",927.6,17.22
"HD 999496",27957,7378.301703,"B6III",712.2,1.93
"HD 698072",7283,0.003319,"F2V",927,18.43
"HD 806385",3062,0.000102,"M3V",426.5,20.22
"HD 566918",5833,0.001034,"G5V",853.2,19.46
"HD 715070",13311,0.132007,"B0V",864.3,14.12
"HIP 105853",4638,97.958859,"K2IV",809.5,6.93
"HD 735941",18126,2.732716,"B0V",186.8,7.49
"HIP 80929",4621,81.593359,"K1IV",306.7,4.93
"HD 359307",28692,3971.066891,"B0III",264.1,0.45
"WD 8258+325",22594,0.002914,"DA2",278.3,15.78
"HD 615395",22093,121.974657,"B0III",86,1.72
"TYC 4890-660-1",14006,83856.205693,"B5Ib",937.7,-0.21
"HD 333247",29994,13283.841142,"B7Ia",890.3,1.55
"HD 776768",10827,0.024017,"B2V",694.5,15.38
"HD 661281",12779,0.118166,"B0V",863.5,14.15
"WD 1578+857",6718,0.000196,"F2V",487.9,19.92
"HIP 64492",3928,104.087498,"K7III",434,5.39
"HD 725986",31778,27192.431759,"O5Ia",331.6,-1.38
"HD 968910",3425,0.000292,"M9V",517.7,19.7
"HD 325104",34392,187800.34975,"O5Ib",947.6,-1.02
"HD 470669",5339,0.000634,"G6V",689.6,19.34
"HD 447487",7832,0.002957,"A0V",813.6,18.27
"HD 701070",4755,0.000361,"K9V",785.1,20.53
"HIP 30354",3952,86.7957,"K5IV",374.7,5.22
"HD 178631",31627,129435.715102,"O4Ib",805.6,-1.08
"HD 335083",7330,0.002392,"F8V",806.9,18.45
"HD 688962",32923,108695.692636,"O0Ia",765.6,-0.86
"HIP 53698",4731,48.136087,"K4IV",161.6,4.19
"HD 888690",18961,8.219311,"B6V",763,9.47
"HD 965058",20885,45.034893,"B7IV",633.6,7.05
"HIP 93929",4672,396.738132,"K7III",414,4
"HD 253222",2537,0.000047,"M5V",935.4,22
"HD 550815",2502,0.000205,"M1V",565.5,20.26
"WD 3252+640",16137,0.001864,"DA3",840.1,18.7
"HD 265654",2916,0.000015,"M0V",794.5,22
"HIP 62338",3503,107.456169,"M1III",375.7,5.17
"HD 539025",4213,0.00036,"K1V",747.3,20.24
"HD 997851",6059,0.001229,"F5V",968.2,19.45
"HD 881880",5291,0.000516,"G2V",628.7,19.49
"HD 455421",8591,0.00698,"DA5",842.1,17.13
"HD 256132",27606,3343.092996,"B7III",713,2.63
"HD 629809",14961,0.27601,"B3V",913.3,13.45
"HD 619582",3474,0.000125,"M1V",597.5,20.93
"HD 350258",33398,151473.333477,"O8Ia",219.6,-3
"HD 455544",3068,0.000129,"M8V",119.3,17.31
"HD 800581",10057,0.005348,"DA5",668.9,16.96
"HD 568483",2517,0.000108,"M4V",352.1,19.77
"TYC 1143-707-1",13875,141207.892019,"B8Ib",681.5,-1.43
"HD 395859",2618,0.000092,"M4V",919.6,22
"WD 1725+589",7209,0.000302,"F5V",624.1,20.03
"HD 921937",3520,0.000189,"M7V",789.2,21.07
"HD 543561",2505,0.000147,"M3V",899.1,21.51
"HD 354465",7629,0.002062,"A9V",263.9,15.89
"HD 753058",6709,0.001035,"F8V",760.7,19.1
"WD 3120+184",16640,0.000243,"DA3",806.4,20.77
"HD 412992",34815,358142.474772,"O0Ia",664.1,-2.44
"HD 609880",3167,0.000209,"M6V",799.8,21.05
"HIP 11416",3825,56.198869,"K8IV",705,7.11
"HD 528524",20526,36.193524,"B7IV",138.4,4.07
"WD 5804+487",22016,0.000441,"DA2",991.9,20.54
"HD 275497",34590,311441.302472,"O0Ib",708,-2.12
"HD 844034",17750,1.187872,"B2V",882.4,11.87
"HD 157611",6031,0.000754,"F4V",547.7,18.64
"WD 6549+139",8805,0.001244,"DA5",544.4,18.21
"HIP 8141",4035,50.814313,"K3IV",481.6,6.38
"WD 8468+454",7317,0.000218,"F4V",678.5,20.57
"HD 987798",34888,353281.375326,"O2Ia",338.7,-3
"WD 3633+779",7620,0.00027,"A9V",659.6,20.35
"HD 974826",29068,3915.593423,"B9III",860,3.11
"HD 364663",9389,0.004448,"DA5",990.5,18.17
"HD 417371",22611,121.009567,"B1III",584.5,5.81
"HD 598966",23943,192.938402,"B9III",363.6,4.29
"HD 962764",4533,0.001038,"K4V",767.6,19.15
"HD 578977",23634,74.369079,"B8IV",587.5,6.5
"HIP 96867",4998,81.775378,"K9IV",353.6,5.32
"HD 271609",18149,9.836391,"B7V",712.9,8.85
"HD 918613",5376,0.000412,"G5V",371.7,18.74
"HD 469279",13780,0.121253,"B6V",523,13.02
"WD 5889+853",16354,0.000208,"DA3",681.8,20.66
"HIP 105674",4304,28.512311,"K6IV",643.4,7.74
"HD 598721",4333,0.000251,"K6V",769.4,20.7
"HD 351133",34538,292624.601539,"O9Ia",780.8,-1.93
"HD 924814",21803,21.008291,"B0IV",633.9,7.94
"HD 532431",5461,0.000939,"G5V",192.6,16.21
"HD 170939",11288,0.0215,"B9V",600.1,15.24
"HD 734080",2763,0.00014,"M7V",932.9,21.77
"HD 890119",6756,0.003814,"F4V",505.6,16.85
"HIP 93120",4448,543.635634,"K5III",590.5,4.31
"HD 644155",11308,0.01888,"B3V",427.3,14.63
"HD 739902",29621,5546.220814,"B9III",714,2.27
"HD 824760",10508,0.034234,"B4V",810.1,15.24
"HD 984785",22944,71.566527,"B9IV",831.3,7.03
"WD 1892+511",7033,0.001579,"F4V",446.1,17.38
"HD 684699",18072,1.805315,"B6V",999.7,11.64
"HD 871620",2841,0.000087,"M8V",867,22
"HD 381100",16292,0.794586,"B6V",403.8,10.61
"HD 497057",9635,0.013299,"A3V",228.9,13.69
"HD 191079",16342,0.898319,"B9V",833.8,12
"HD 579002",16732,2.252249,"B4V",800.2,10.93
"HD 705241",26721,1889.444852,"B3III",571.8,2.85
"HD 600812",3436,0.000092,"M8V",622.3,21.23
"HD 196630",3014,0.000108,"M1V",797.1,21.71
"HIP 54822",3627,494.341572,"M9III",895.6,5.38
"WD 5476+204",10129,0.000344,"DA4",975.4,20.88
"HD 763052",8002,0.002066,"DA6",414.5,17.07
"HD 863613",2501,0.000105,"M7V",892.7,22
"HD 578775",15495,1.098738,"B1V",777.8,11.62
"HD 436845",2798,0.000132,"M7V",634.8,21
"WD 1590+849",6407,0.000342,"F9V",723.7,20.11
"HD 696467",12084,0.096876,"B2V",572.9,13.61
"HD 989256",13160,0.215563,"B4V",787.6,13.36
"HD 753872",31656,36774.242684,"O4Ib",538.4,-0.67
"HIP 87821",4916,165.04943,"K3III",339.7,4.38
"HD 399535",29843,18217.427995,"B9Ib",996.9,1.58
"HD 240155",15729,0.625946,"B1V",210.4,9.34
"HD 586254",16303,0.925927,"B7V",533.2,10.83
"HIP 75849",4289,156.016942,"K0III",389.2,4.81
"WD 5158+385",24875,0.000605,"DA2",733.8,19.62
"HD 196301",2503,0.000067,"M3V",942.6,22
"HD 767939",10617,0.018339,"B1V",892.1,16.41
"HD 146624",6191,0.001401,"F8V",706.6,18.65
"HIP 118647",4630,112.532672,"K3III",670.4,6.22
"HIP 57215",3983,80.781295,"K1IV",961.4,7.4
"HD 166065",2866,0.000025,"M6V",534.8,22
"WD 8371+482",12562,0.000408,"DA4",559.7,19.41
"HIP 108142",4219,918.118344,"K3III",436.5,3.05
"HD 465279",16929,0.687442,"B0V",878,12.18
"WD 8962+528",7608,0.000248,"A2V",926.4,20.97
"HD 966588",23079,69.424406,"B3IV",803.6,7.28
"HIP 113256",4055,111.734791,"K7III",424,5.35
"HD 261467",7255,0.002785,"F3V",939.1,18.43
"HD 552663",13443,0.134457,"B5V",668,13.61
"TYC 8754-993-1",24892,76844.335313,"B2Ib",584.5,-1.13
"HD 611780",12414,0.055404,"B8V",538.7,14.08
"HD 108514",14233,0.656478,"B6V",535.7,11.29
"HD 351648",8073,0.00862,"DA6",262.2,14.47
"HD 730409",12315,0.11696,"B0V",899.6,14.49
"HIP 98107",4654,170.753859,"K3III",229,3.39
"HD 843077",12645,0.084291,"B2V",785.6,14.49
"HD 154245",3300,0.000125,"M4V",908.2,21.85
"HD 566859",6681,0.001741,"F9V",314.8,16.68
"HIP 38265",3865,262.100498,"K3III",839.1,5.83
"WD 9493+617",15978,0.000601,"DA3",911.6,20.22
"HIP 93302",4264,60.977444,"K8IV",503.3,6.19
"HD 374841",8344,0.006647,"DA6",503.8,16.1
"HD 280485",8977,0.004437,"DA5",874,17.86
"HD 535439",2847,0.000278,"M9V",557.6,20.1
"HD 371138",5043,0.001006,"K3V",937.8,19.82
"HD 297516",34636,345909.660972,"O1Ia",186.5,-3
"HD 880368",11287,0.044977,"B6V",620.5,14.52
"HD 445035",34491,213889.639438,"O3Ib",343,-3
"HD 133961",15600,0.258809,"B5V",743,13.03
"HD 806854",23551,210.528236,"B5III",777.6,5.8
"WD 2164+162",21661,0.000377,"DA2",610.6,19.91
"HD 885295",4600,0.000488,"K7V",285.9,17.76
"HD 942624",15714,1.044128,"B6V",748.1,11.56
"WD 7680+391",17418,0.00192,"DA2",711.8,18.18
"WD 8827+422",22600,0.003051,"DA2",529.8,17.21
"HD 410811",7326,0.002426,"F1V",474.3,17.18
"HD 952457",3541,0.000257,"M4V",788.7,20.74
"HIP 38613",4389,149.553058,"K7III",700.4,6.02
"HIP 46427",4066,116.693766,"K7III",414.4,5.24
"HD 347369",10526,0.013433,"B8V",645.2,15.84
"HD 489655",5138,0.001535,"K1V",897.4,18.88
"HD 713297",7040,0.001341,"F6V",408.7,17.5
"HD 905256",3944,0.000338,"K9V",301.5,18.29
"HD 222744",34702,320646.426967,"O5Ib",327.2,-3
"HD 452916",30804,25833.135846,"O6Ia",662.7,0.23
"HD 841984",18856,5.390743,"B9V",834.9,10.07
"WD 5438+108",20646,0.001303,"DA2",196.3,15.84
"HIP 8697",4605,45.347268,"K7IV",404.6,6.22
"HD 479274",11329,0.034464,"B1V",819.8,15.44
"HD 725243",19003,12.002994,"B1IV",656.8,8.74
"HIP 118234",3482,179.465595,"M2III",691.6,5.78
"HD 124705",15237,0.43601,"B1V",487.9,11.66
"HD 607278",8284,0.002167,"DA6",642.8,17.88
"HD 665384",9371,0.016142,"A3V",932.5,16.53
"TYC 3336-247-1",6852,25401.013128,"F7Ib",948.1,1.05
"HD 856162",12432,0.05815,"B8V",878.2,15.07
"HD 169876",2512,0.000237,"M7V",985,21.34
"HD 364401",5533,0.001343,"G7V",844.4,19.24
"HD 600867",32169,151027.937844,"O0Ib",594.8,-1.72
"WD 9554+696",19522,0.005136,"DA2",637.5,17.01
"HD 467256",8511,0.006987,"DA5",973.2,17.42
"HD 559075",2980,0.000116,"M1V",291.1,19.35
"HD 285737",4401,0.001019,"K8V",987.2,19.75
"HD 552832",24052,377.335646,"B6III",875.2,5.6
"HD 871604",18623,3.195966,"B2V",810.2,10.54
"HD 635720",4124,0.000493,"K1V",651.4,19.57
"HD 262035",5979,0.00092,"G7V",903.5,19.64
"HIP 29988",4844,354.187002,"K8III",859.5,5.68
"HD 255342",3340,0.000452,"M6V",950.3,20.6
"HD 596312",21117,10.217131,"B2IV",809.4,9.19
"HIP 85305",4109,149.385051,"K4III",983.5,6.73
"WD 9209+627",22773,0.000223,"DA2",319.5,18.83
"HD 192441",13548,0.489424,"B9V",885,12.7
"HD 640028",4906,0.000812,"K6V",837.9,19.62
"HD 415677",5889,0.000526,"G7V",288.1,17.72
"HD 460188",8684,0.003057,"DA5",775.3,17.82
"HD 153894",2956,0.000106,"M2V",853.3,21.91
"HD 974559",3490,0.000235,"M8V",454.8,19.67
"HD 731143",2930,0.000089,"M0V",982.9,22
"HD 915278",25893,468.807876,"B3III",749.9,4.84
"HD 376446",9066,0.01609,"A7V",195.8,13.15
"HD 237165",31375,50579.136762,"O8Ib",175.5,-3
"TYC 6766-761-1",11416,139111.049797,"B7Ia",720.5,-1.33
"HD 306956",8345,0.008892,"DA6",309.3,14.94
"HD 946718",30095,12651.597966,"O1Ib",301.7,-0.51
"HD 494765",5416,0.000589,"G7V",937.6,20.26
"HD 506792",29286,9049.085612,"B2III",877.5,2.17
"HD 984553",9789,0.015514,"A9V",603.6,15.74
"HD 598842",5489,0.000885,"G9V",756,19.4
"HD 896402",5368,0.0007,"G9V",326.2,17.54
"HIP 93184",4699,205.74616,"K8III",736.1,5.76
"HD 745048",8093,0.01935,"A8V",971.3,16.4
"HD 343577",18968,3.399039,"B0V",846.4,10.61
"HD 731539",33776,69098.466741,"O8Ib",706.8,-0.72
"WD 9593+649",20340,0.001039,"DA2",351.9,17.56
"HD 555579",8597,0.004855,"DA5",533.6,16.82
"HD 153593",4784,0.000188,"K3V",772.2,20.85
"HD 816431",19627,12.627203,"B5IV",730.5,8.95
"HD 750490",30130,21566.348727,"O1Ib",839.9,0.92
"HD 482728",27840,2025.635221,"B6III",552.8,2.69
"HD 466745",5582,0.002674,"G8V",884.4,18.43
"HIP 85521",4025,68.205597,"K0IV",605.4,6.42
"WD 2986+899",10936,0.000391,"DA4",502.4,19.41
"TYC 2673-656-1",15137,193784.043526,"B5Ia",667.1,-1.76
"HD 943111",6849,0.001967,"F0V",776.9,18.59
"HD 747976",27436,1414.166497,"B4III",792.8,3.97
"HD 632133",7515,0.003444,"A6V",878.4,17.98
"WD 7411+119",23406,0.000188,"DA2",850.4,21.24
"HD 820411",16256,0.364235,"B6V",575.7,12.18
"HD 118943",33016,114022.561136,"O1Ib",803,-0.84
"HD 408018",26243,685.860791,"B6III",492.8,3.68
"HIP 9248",3553,67.932911,"M1IV",494.7,6.2
"HD 725053",14781,0.283725,"B1V",647.2,12.64
"HD 584005",9816,0.005177,"DA5",705.5,17.35
"HD 905465",30498,46391.821456,"O7Ib",758.6,-0.14
"HIP 86718",3000,141.131312,"M6III",980.2,6.74
"HD 200710",23186,41.785663,"B8IV",892.9,7.94
"HD 290140",5400,0.00104,"G3V",727.4,19
"HD 177638",8582,0.004717,"DA5",701.6,17.25
"WD 4376+679",16854,0.000258,"DA2",668.6,20.31
"HD 813458",29516,9482.821763,"B3III",300.7,-0.37
"WD 3508+459",9039,0.000061,"DA5",334,20.4
"HD 895468",7091,0.004039,"F2V",555.3,17.03
"HD 346282",8627,0.00347,"DA5",862.1,18.13
"HD 358817",3588,0.000153,"M0V",664.9,20.73
"HD 374936",6964,0.002427,"F5V",997.6,19.01
"TYC 9539-583-1",9546,34970.860702,"A6Ib",680.8,0.15
"HD 744794",33453,46263.361178,"O6Ib",856.7,0.19
"HD 300856",31033,14616.959389,"O3Ia",640.6,0.72
"HD 547651",30085,6484.643153,"O5III",405.6,0.71
"HD 876656",29604,13637.822484,"B3Ia",452.4,0.23
"HD 208032",2531,0.000041,"M1V",981.6,22
"HD 461095",2501,0.000058,"M4V",825.2,22
"TYC 5825-571-1",14256,49890.535548,"B5Ib",683.6,-0.08
"HD 243044",10695,0.027789,"B2V",811.8,15.68
"HD 108988",32757,65795.204164,"O3Ib",991.7,0.02
"HD 919940",32528,60168.1808,"O1Ia",241.6,-2.73
"HD 283459",6515,0.001012,"F5V",868.9,19.38
"HD 376832",19438,6.18888,"B2V",974.3,10.21
"HD 921727",30800,13897.669864,"O0Ia",779.9,1.37
"HD 597386",16934,2.322561,"B9V",588.2,10.23
"HD 111466",21864,18.172723,"B3IV",501.9,7.66
"HD 472539",2776,0.000117,"M1V",344,19.56
"HD 977527",2696,0.000225,"M0V",754.2,20.66
"HD 990565",26478,483.572449,"B5III",770.5,4.81
"HD 642810",17342,1.726026,"B8V",400.2,9.73
"HD 358716",5884,0.000639,"G1V",934.7,20.06
"HIP 107806",5001,143.445049,"K5III",496,5.43
"HD 327955",16219,3.513489,"B0V",957,10.89
"HD 856464",13349,0.143769,"B7V",534.9,12.78
"HIP 18347",3000,67.283555,"M6IV",942.8,7.55
"HD 484659",12600,0.112051,"B4V",615.9,13.51
"HD 775154",2616,0.000123,"M7V",946,21.97
"HIP 72803",4424,142.123281,"K6III",279.9,4.19
"HD 363124",9515,0.010545,"A2V",502.3,15.7
"HD 514683",3263,0.000224,"M2V",520,19.93
"HIP 46906",5203,958.207218,"G5III",234.6,1.8
"HD 561720",4617,0.00044,"K0V",731.1,19.94
"HD 827908",15047,0.511239,"B9V",475.3,11.35
"HD 831959",3639,0.000586,"M1V",824.2,19.92
"HD 119781",28368,2431.663702,"B0III",897.8,3.84
"HD 593053",24535,468.48331,"B8III",726.6,4.95
"HD 104097",2590,0.000061,"M3V",795.7,22
"HD 973699",9980,0.016885,"A1V",280.8,14
"HD 292918",3777,0.000145,"K6V",887.8,21.54
"HD 725337",10137,0.019506,"B4V",499.5,14.99
"HD 385509",3502,0.000052,"M1V",534.9,21.55
"HD 897866",4069,0.00039,"K3V",770.9,20.06
"HD 953468",5201,0.001399,"G8V",970.7,19.27
"HD 723451",27670,2642.557861,"B8III",932,3.58
"WD 8429+211",18641,0.00032,"DA2",397.8,18.99
"HD 169261",2506,0.000077,"M1V",379.7,20.44
"HD 747451",9750,0.013824,"A3V",677.3,16.24
"HD 255009",24387,117.764632,"B0III",608,6.05
"HD 987646",3547,0.000577,"M2V",990.6,20.46
"TYC 2356-132-1",4278,176855.48928,"K7Ib",745.5,-1.45
"HD 844946",22416,90.28805,"B3IV",945.8,7.22
"HD 936421",28117,1741.732598,"B4III",913.1,4.02
"HD 517372",20810,20.215304,"B5IV",874.1,8.86
"HIP 104413",5209,35.774996,"G9IV",914.8,8.26
"HIP 27758",4717,152.532,"K1III",566.3,5.6
"HD 136232",32927,34295.511747,"O9Ib",639.5,-0.12
